Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.33832707 1.38369744 0.61405856 0.25038658],[-0.44806827  0.88505697 -0.42377389  2.49320514],12.12693270889369,1.5503871440887451,-0.7579332943058557,-0.7579332943058557
1,[0.30695693 1.3981629  0.6456412  0.23249256],[-0.41681661  0.85830559 -0.44778673  2.48777945],5.65389315885584,1.4413177967071533,-0.35336832242849,-0.35336832242849
2,[0.29878886 1.41619051 0.61661383 0.25185086],[-0.42306964  0.85911007 -0.47136956  2.47489182],1.5890989085176066,1.4448680877685547,-0.09931868178235041,-0.09931868178235041
3,[0.28341251 1.4269185  0.62119805 0.25251163],[-0.40834854  0.8500176  -0.48633025  2.45256068],-1.7970960392197992,1.4427831172943115,0.11231850245123745,0.11231850245123745
4,[0.28549059 1.42955159 0.61545575 0.26243801],[-0.41346074  0.85510277 -0.4937295   2.44006515],-2.748481607658122,1.4508471488952637,0.17178010047863262,0.17178010047863262
5,[0.28065741 1.42806966 0.62442937 0.26336612],[-0.40816982  0.85271329 -0.49525271  2.42540654],-2.9975015312851823,1.4765398502349854,0.1873438457053239,0.1873438457053239
6,[0.28241497 1.42989492 0.61849293 0.26929463],[-0.41342003  0.85761928 -0.49781389  2.41652798],-3.1309033173102203,1.4621269702911377,0.19568145733188877,0.19568145733188877
7,[0.27785153 1.42891468 0.62653193 0.26720219],[-0.40897973  0.85557971 -0.49828022  2.40511652],-3.208349187967227,1.4586238861083984,0.20052182424795167,0.20052182424795167
8,[0.27919428 1.42992898 0.61916089 0.27318961],[-0.41437283  0.86054737 -0.49730003  2.40014835],-3.250193543511231,1.4727728366851807,0.20313709646945194,0.20313709646945194
9,[0.27538146 1.43069069 0.62910676 0.26785717],[-0.40956986  0.8579619  -0.50021346  2.39017167],-3.260719975284616,1.4310460090637207,0.2037949984552885,0.2037949984552885
10,[0.27625768 1.42939427 0.61838484 0.27746572],[-0.41572651  0.86342141 -0.49342327  2.38988223],-3.2390949432440874,1.4375879764556885,0.20244343395275546,0.20244343395275546
11,[0.27394207 1.43492416 0.63207918 0.26645166],[-0.40978508  0.8595524  -0.50376907  2.37870916],-3.1546139476489246,1.5028841495513916,0.19716337172805778,0.19716337172805778
12,[0.2732377  1.42683108 0.61783731 0.28145502],[-0.4170357   0.86569227 -0.48747582  2.38418937],-3.030353237261617,1.460418701171875,0.18939707732885105,0.18939707732885105
13,[0.2729031  1.43970418 0.63297129 0.26631372],[-0.41043088  0.86088629 -0.50487779  2.37070235],-2.8781527639908626,1.4500958919525146,0.1798845477494289,0.1798845477494289
14,[0.27084474 1.42674124 0.61999122 0.2813971 ],[-0.41776256  0.86679359 -0.48728699  2.3786465 ],-2.8848401277833036,1.4351119995117188,0.18030250798645647,0.18030250798645647
15,[0.27029421 1.43887874 0.63218705 0.2691388 ],[-0.41162876  0.86223261 -0.50155069  2.3670863 ],-2.986014117688155,1.4630541801452637,0.1866258823555097,0.1866258823555097
