Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.30677884 1.35219266 0.64569031],[ 0.28190638 -0.4796282   0.91661957],-0.8672438680246307,0.1427140235900879,0.17344877360492614,0.20727625908810485
1,[0.30685327 1.35231043 0.64569926],[ 0.28180365 -0.47956542  0.91655942],-0.869043403503993,0.16742706298828125,0.1738086807007986,0.2077063583900557
2,[0.30692759 1.35242798 0.64570817],[ 0.28170116 -0.47950271  0.9164993 ],-0.8708368156471458,0.11661696434020996,0.17416736312942915,0.20813499417952813
3,[0.3070018  1.3525453  0.64571705],[ 0.28159891 -0.47944008  0.91643922],-0.8726241131684185,0.14423012733459473,0.17452482263368368,0.20856216853929696
4,[0.30707589 1.35266241 0.6457259 ],[ 0.2814969  -0.47937752  0.91637916],-0.8744053048948129,0.11742997169494629,0.17488106097896258,0.20898788357906617
5,[0.30714987 1.35277929 0.64573471],[ 0.28139514 -0.47931502  0.91631914],-0.876180399764876,0.14131808280944824,0.17523607995297522,0.20941214143519982
6,[0.30722373 1.35289595 0.6457435 ],[ 0.28129362 -0.4792526   0.91625915],-0.8779494068275416,0.11555218696594238,0.17558988136550832,0.20983494427044494
7,[0.30729747 1.35301239 0.64575224],[ 0.28119234 -0.47919025  0.91619919],-0.8797123352409874,0.14129209518432617,0.17594246704819747,0.21025629427365855
8,[0.30737111 1.3531286  0.64576096],[ 0.28109131 -0.47912798  0.91613926],-0.8814691942714952,0.1180121898651123,0.17629383885429903,0.21067619365953516
9,[0.30744462 1.3532446  0.64576964],[ 0.28099052 -0.47906577  0.91607936],-0.8832199932923055,0.14284896850585938,0.1766439986584611,0.21109464466833305
10,[0.30751802 1.35336037 0.64577829],[ 0.28088997 -0.47900364  0.9160195 ],-0.8849647417824782,0.11802482604980469,0.17699294835649565,0.21151164956560187
11,[0.30759131 1.35347592 0.64578691],[ 0.28078966 -0.47894158  0.91595966],-0.8867034493257588,0.14179587364196777,0.17734068986515178,0.21192721064191175
12,[0.30766448 1.35359125 0.64579549],[ 0.28068959 -0.47887959  0.91589986],-0.8884361256094208,0.11682486534118652,0.17768722512188415,0.21234133021257665
13,[0.30773753 1.35370636 0.64580404],[ 0.28058977 -0.47881767  0.91584008],-0.8901627804231594,0.14296507835388184,0.1780325560846319,0.2127540106173899
14,[0.30781047 1.35382124 0.64581256],[ 0.28049018 -0.47875583  0.91578034],-0.8918834236579349,0.15043115615844727,0.178376684731587,0.21316525422034774
15,[0.30788329 1.35393591 0.64582105],[ 0.28039084 -0.47869406  0.91572063],-0.8935980653048543,0.11632990837097168,0.17871961306097087,0.21357506340938198
16,[0.30795599 1.35405035 0.6458295 ],[ 0.28029174 -0.47863236  0.91566095],-0.8953067154540357,0.1497950553894043,0.17906134309080715,0.21398344059608884
17,[0.30802858 1.35416457 0.64583791],[ 0.28019288 -0.47857073  0.9156013 ],-0.8970093842934838,0.11725115776062012,0.17940187685869674,0.21439038821545978
18,[0.30810105 1.35427857 0.6458463 ],[ 0.28009427 -0.47850918  0.91554168],-0.8987060821079587,0.14366388320922852,0.17974121642159174,0.21479590872561152
19,[0.3081734  1.35439235 0.64585465],[ 0.27999589 -0.4784477   0.91548209],-0.9003968192778613,0.11653995513916016,0.18007936385557227,0.21520000460751942
20,[0.30824564 1.3545059  0.64586297],[ 0.27989775 -0.4783863   0.91542254],-0.9020816062781122,0.14279794692993164,0.18041632125562243,0.21560267836474956
21,[0.30831776 1.35461924 0.64587125],[ 0.27979986 -0.47832496  0.91536301],-0.9037604536770224,0.11626124382019043,0.1807520907354045,0.2160039325231889
22,[0.30838976 1.35473235 0.6458795 ],[ 0.2797022  -0.4782637   0.91530352],-0.9054333721352019,0.1416928768157959,0.18108667442704038,0.2164037696307844
23,[0.30846165 1.35484524 0.64588772],[ 0.27960479 -0.47820252  0.91524405],-0.9071003724044188,0.11699318885803223,0.18142007448088376,0.21680219225727024
24,[0.30853341 1.35495791 0.6458959 ],[ 0.27950762 -0.47814141  0.91518462],-0.9087614653265123,0.13860797882080078,0.18175229306530244,0.21719920299390827
