Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.3088868  1.35430844 0.64956048],[ 0.28081557 -0.48661237  0.91083769],1.5312627956414906,0.31251001358032227,-0.15312627956414906,-0.223053575475818
1,[0.31127536 1.35686352 0.65344988],[ 0.27978014 -0.49340048  0.90520337],1.4608209055253103,0.28460693359375,-0.14608209055253102,-0.21279255725059143
2,[0.31386877 1.35974024 0.65734907],[ 0.27891582 -0.50000804  0.89977178],1.3900612053298111,0.28116297721862793,-0.13900612053298111,-0.20248524476763455
3,[0.31666323 1.36293651 0.6612576 ],[ 0.27823573 -0.50638203  0.89453605],1.3187650522011596,0.3171100616455078,-0.13187650522011596,-0.1920997891043204
4,[0.31965221 1.36644801 0.66517527],[ 0.27775278 -0.51246502  0.88948751],1.2467400829125554,0.2832303047180176,-0.12467400829125555,-0.18160816939731325
5,[0.32282645 1.37026828 0.66910218],[ 0.27747893 -0.51819719  0.88461584],1.173818177972696,0.2809751033782959,-0.1173818177972696,-0.1709858962815289
6,[0.32617398 1.37438894 0.67303892],[ 0.27742461 -0.52351865  0.87990938],1.0998501834878258,0.30437302589416504,-0.10998501834878258,-0.16021124304265488
7,[0.3296802  1.37879983 0.67698649],[ 0.27759813 -0.52837216  0.87535546],1.0246992455758448,0.2814030647277832,-0.10246992455758448,-0.1492642746650903
8,[0.33332793 1.38348912 0.68094626],[ 0.27800514 -0.53270583  0.87094095],0.9482355195561953,0.28144001960754395,-0.09482355195561953,-0.1381260771385572
9,[0.33709751 1.38844317 0.68491959],[ 0.27864838 -0.53647562  0.8666528 ],0.8703354567722408,0.2788879871368408,-0.08703354567722407,-0.1267786535720671
10,[0.34096674 1.3936463  0.68890737],[ 0.27952736 -0.53964729  0.86247867],0.7908886112221937,0.31484222412109375,-0.07908886112221937,-0.11520591569150672
11,[0.3449109  1.39908031 0.69290936],[ 0.28063826 -0.54219783  0.85840765],0.7098138501631092,0.28284716606140137,-0.07098138501631092,-0.10339604518035093
12,[0.34890261 1.40472388 0.69692341],[ 0.28197388 -0.54411612  0.85443079],0.6270850608101,0.28047680854797363,-0.06270850608101,-0.09134523828260742
13,[0.35291184 1.41055186 0.70094462],[ 0.28352365 -0.54540299  0.85054177],0.5427641237898128,0.30266499519348145,-0.05427641237898127,-0.07906250892786784
14,[0.35690596 1.41653464 0.7049647 ],[ 0.28527372 -0.54607074  0.84673719],0.4570364057385396,0.28177690505981445,-0.04570364057385396,-0.06657485881114925
15,[0.36085009 1.42263784 0.70897148],[ 0.2872072  -0.54614224  0.84301691],0.37024179211680497,0.27985310554504395,-0.0370241792116805,-0.0539317978320182
16,[0.36470767 1.42882226 0.71294888],[ 0.28930448 -0.54564961  0.83938395],0.28289299999662554,0.27779507637023926,-0.028289299999662555,-0.04120801165282236
17,[0.36844146 1.43504454 0.71687729],[ 0.29154371 -0.54463274  0.83584429],0.19567335062484917,0.304034948348999,-0.019567335062484918,-0.028503037235957634
18,[0.3720149  1.44125831 0.72073452],[ 0.29390148 -0.54313764  0.83240626],0.10940894496418775,0.28290605545043945,-0.010940894496418775,-0.01593720975443376
19,[0.3753937  1.4474159  0.72449711],[ 0.29635359 -0.54121461  0.82907986],0.025015243182006035,0.27947306632995605,-0.0025015243182006036,-0.0036438810170438506
20,[0.37854743 1.45347049 0.72814193],[ 0.29887588 -0.5389164   0.82587582],-0.05657565110052542,0.30269384384155273,0.0056575651100525415,0.008241172775021911
21,[0.38145108 1.45937824 0.73164777],[ 0.30144501 -0.53629644  0.82280472],-0.13449516003517192,0.29862189292907715,0.013449516003517192,0.019591428992741723
22,[0.38408613 1.46510029 0.73499674],[ 0.30403922 -0.53340715  0.81987613],-0.208011420421597,0.28299999237060547,0.0208011420421597,0.030300279740946394
23,[0.38644116 1.47060428 0.73817526],[ 0.3066388  -0.53029856  0.81709797],-0.2765826467288468,0.3073699474334717,0.02765826467288468,0.04028880505882692
24,[0.38851187 1.47586523 0.74117458],[ 0.30922647 -0.52701719  0.81447607],-0.339883078404622,0.290208101272583,0.0339883078404622,0.04950955257168565
25,[0.3903006  1.48086578 0.74399077],[ 0.31178745 -0.52360528  0.81201405],-0.3978007880673516,0.2839698791503906,0.03978007880673516,0.05794621821811385
26,[0.3918154  1.48559591 0.74662436],[ 0.31430951 -0.52010038  0.8097133 ],-0.4504126029521401,0.2810838222503662,0.045041260295214006,0.06560999314670649
27,[0.39306898 1.4900521  0.74907969],[ 0.31678277 -0.51653523  0.80757319],-0.497944760721455,0.30789709091186523,0.0497944760721455,0.0725338325887043
28,[0.39407747 1.49423642 0.75136413],[ 0.31919949 -0.51293787  0.80559144],-0.5407283373989147,0.2842099666595459,0.05407283373989147,0.07876596320450323
29,[0.39485929 1.49815534 0.75348721],[ 0.32155382 -0.50933193  0.80376438],-0.5791567304289851,0.2824058532714844,0.057915673042898505,0.08436368979300583
30,[0.39543415 1.50181865 0.7554599 ],[ 0.32384156 -0.50573707  0.80208733],-0.6136497717404121,0.30811190605163574,0.06136497717404121,0.08938816776990709
31,[0.39582217 1.50523851 0.75729391],[ 0.32605987 -0.50216935  0.80055493],-0.6446264225702528,0.29035186767578125,0.06446264225702528,0.0939004257203573
32,[0.39604329 1.50842853 0.7590012 ],[ 0.32820709 -0.49864178  0.79916138],-0.6724860414752696,0.2814309597015381,0.06724860414752695,0.09795863677716964
33,[0.39611671 1.51140315 0.76059348],[ 0.33028253 -0.4951647   0.79790063],-0.6975970615868651,0.3067178726196289,0.06975970615868651,0.10161646927703788
34,[0.39606061 1.51417701 0.762082  ],[ 0.33228631 -0.49174621  0.79676659],-0.7202914372542889,0.284700870513916,0.07202914372542889,0.1049222778229117
35,[0.39589189 1.51676464 0.7634773 ],[ 0.33421923 -0.48839251  0.79575319],-0.7408632006925333,0.2837393283843994,0.07408632006925334,0.10791889303605728
36,[0.39562613 1.51918007 0.76478911],[ 0.33608261 -0.48510827  0.79485451],-0.7595696945804086,0.28023219108581543,0.07595696945804085,0.110643801104211
37,[0.39527745 1.5214367  0.76602628],[ 0.33787825 -0.48189684  0.7940648 ],-0.776634362400631,0.305866003036499,0.0776634362400631,0.11312955024044151
38,[0.39485859 1.52354716 0.76719681],[ 0.33960826 -0.47876053  0.79337851],-0.7922502920263539,0.28717613220214844,0.07922502920263538,0.11540426686472743
39,[0.39438095 1.52552321 0.76830781],[ 0.3412751  -0.47570075  0.79279034],-0.8065839749794611,0.28020715713500977,0.08065839749794611,0.11749220320166949
40,[0.39385465 1.52737574 0.76936559],[ 0.3428814  -0.47271823  0.79229519],-0.8197789500154052,0.3049297332763672,0.08197789500154053,0.11941426802846399
41,[0.3932886  1.52911477 0.7703757 ],[ 0.34442997 -0.46981313  0.7918882 ],-0.8319591479219521,0.2824413776397705,0.08319591479219521,0.12118851389977453
42,[0.39269063 1.53074946 0.77134302],[ 0.34592376 -0.46698513  0.79156474],-0.8432318544568197,0.2802700996398926,0.08432318544568197,0.12283056874826215
43,[0.39206759 1.53228818 0.7722718 ],[ 0.34736576 -0.46423356  0.79132037],-0.8536902716541908,0.2788970470428467,0.08536902716541908,0.12435400898094548
44,[0.3914254  1.53373852 0.77316576],[ 0.34875903 -0.46155746  0.79115089],-0.8634156947651221,0.3040907382965088,0.08634156947651221,0.12577067658632515
45,[0.39076918 1.53510734 0.7740281 ],[ 0.35010661 -0.45895563  0.79105227],-0.8724793413368268,0.28630590438842773,0.08724793413368268,0.1270909455698218
46,[0.39010336 1.53640086 0.77486165],[ 0.35141154 -0.4564267   0.79102067],-0.8809438767485048,0.2837231159210205,0.08809438767485048,0.12832394417312523
47,[0.38943171 1.53762468 0.77566884],[ 0.3526768  -0.45396917  0.79105243],-0.8888646814331954,0.3070030212402344,0.08888646814331955,0.12947773946586968
48,[0.38875743 1.53878387 0.77645182],[ 0.35390532 -0.45158144  0.79114408],-0.8962909020988663,0.2846980094909668,0.08962909020988663,0.13055949047325074
49,[0.38808327 1.53988296 0.77721245],[ 0.35509994 -0.44926182  0.79129228],-0.9032663245087226,0.28182291984558105,0.09032663245087226,0.13157557531081174
50,[0.38741151 1.54092605 0.77795239],[ 0.35626339 -0.4470086   0.79149388],-0.9098301000196171,0.2797858715057373,0.09098301000196171,0.13253169701669584
51,[0.38674409 1.54191679 0.77867312],[ 0.35739834 -0.44482003  0.79174586],-0.916017352817852,0.30523061752319336,0.0916017352817852,0.13343297200551377
52,[0.3860826  1.5428585  0.77937593],[ 0.3585073  -0.44269435  0.79204537],-0.921859690003501,0.28815221786499023,0.0921859690003501,0.1342840043705027
53,[0.38542839 1.54375412 0.78006201],[ 0.35959267 -0.44062978  0.79238967],-0.9273856325158555,0.29493188858032227,0.09273856325158555,0.13508894865489518
