Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.30170429 1.34707467 0.64068133],[ 0.27700936 -0.47469104  0.91167975],1.211496254857774,0.07630300521850586,-0.24229925097155477,-0.4039667405327689
1,[0.29670334 1.34207213 0.63568266],[ 0.27200762 -0.4696873   0.90668244],1.1387683527092518,0.05110597610473633,-0.22775367054185036,-0.3797160229107208
2,[0.29170159 1.33706622 0.63068735],[ 0.26700384 -0.46467487  0.90169107],1.0649310255246207,0.05059480667114258,-0.21298620510492414,-0.3550953736327511
3,[0.28669978 1.33205668 0.62569829],[ 0.26199838 -0.45964904  0.89671014],0.9904375487825436,0.0735311508178711,-0.19808750975650874,-0.33025593490581645
4,[0.28169923 1.32704391 0.6207193 ],[ 0.25699234 -0.45460585  0.89174552],0.9157312691905392,0.05090808868408203,-0.18314625383810784,-0.3053455382429274
5,[0.27670182 1.32202889 0.61575511],[ 0.25198754 -0.44954224  0.88680454],0.8412423707502581,0.050628662109375,-0.16824847415005162,-0.28050762612546115
6,[0.27170999 1.31701317 0.61081133],[ 0.24698657 -0.44445614  0.88189619],0.767384019869457,0.07445907592773438,-0.1534768039738914,-0.255879966612023
7,[0.2667267  1.31199886 0.60589446],[ 0.24199278 -0.43934636  0.8770312 ],0.6945480628655001,0.0506899356842041,-0.13890961257310003,-0.2315932186947316
8,[0.26175538 1.30698855 0.60101186],[ 0.23701027 -0.43421262  0.87222223],0.6231005104356669,0.050740957260131836,-0.1246201020871334,-0.20776942662076256
9,[0.25679994 1.3019853  0.59617166],[ 0.23204389 -0.42905539  0.86748395],0.5533770613203071,0.05208897590637207,-0.11067541226406141,-0.18452052728252985
10,[0.25186465 1.29699256 0.59138268],[ 0.22709916 -0.42387593  0.86283313],0.4856789165843236,0.08069705963134766,-0.09713578331686472,-0.16194695451294552
11,[0.24695415 1.29201414 0.58665433],[ 0.22218229 -0.41867617  0.85828868],0.4202691244549954,0.05304908752441406,-0.08405382489099908,-0.1401364202917624
12,[0.24207337 1.28705418 0.58199646],[ 0.21730002 -0.41345869  0.85387162],0.3573696756217178,0.05175495147705078,-0.07147393512434355,-0.11916294618930236
13,[0.23722744 1.28211701 0.57741923],[ 0.2124596  -0.4082267   0.84960487],0.29715954086845847,0.07450127601623535,-0.05943190817369169,-0.0990862090258281
14,[0.23242171 1.27720722 0.57293285],[ 0.20766862 -0.40298397  0.84551306],0.2397738069458617,0.051183223724365234,-0.04795476138917234,-0.07995125273286485
