Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.29777154 1.34518973 0.64824105],[ 0.28528683 -0.49546055  0.90944115],2.934434963777492,0.1939079761505127,-0.419204994825356,-0.5480827351097295
1,[0.28908832 1.33845332 0.65051962],[ 0.2895479  -0.51160288  0.90223728],2.485874092548924,0.19090795516967773,-0.355124870364132,-0.46430222124559656
2,[0.28105146 1.33222336 0.65266414],[ 0.29435735 -0.52706812  0.89522903],2.0487920457706963,0.19518804550170898,-0.29268457796724234,-0.38266567907558763
3,[0.27390599 1.32673833 0.65482546],[ 0.29925009 -0.54112046  0.8885695 ],1.6605005381034306,0.19282317161560059,-0.23721436258620437,-0.31014205044890375
4,[0.26771312 1.32207772 0.65711235],[ 0.30386847 -0.55347647  0.88235909],1.3400827878914168,0.19231009483337402,-0.1914403982702024,-0.25029562717434006
5,[0.26240376 1.31820035 0.6595767 ],[ 0.30800869 -0.56419037  0.87663494],1.0869937609047264,0.16617226600646973,-0.1552848229863895,-0.2030246098066355
6,[0.25785167 1.31500602 0.66222485],[ 0.31159271 -0.57347236  0.87138758],0.8900175740211789,0.18883824348449707,-0.12714536771731128,-0.16623413784482236
7,[0.25392339 1.31238069 0.66503633],[ 0.31461941 -0.58156385  0.86658284],0.7357998183173902,0.20018386840820312,-0.10511425975962717,-0.13742992497523163
8,[0.25050095 1.31021891 0.66797902],[ 0.31712568 -0.58868117  0.86217749],0.6129357080283917,0.19102215766906738,-0.08756224400405596,-0.11448182817116019
9,[0.24748809 1.3084315  0.67101814],[ 0.3191629  -0.59499988  0.85812768],0.5128876213569673,0.19626307487487793,-0.07326966019385248,-0.0957952225171773
10,[0.24480911 1.30694615 0.67412094],[ 0.32078483 -0.60065646  0.85439266],0.4296151242005328,0.1656630039215088,-0.06137358917150469,-0.08024189843117908
11,[0.24240547 1.30570537 0.67725855],[ 0.32204207 -0.60575514  0.85093588],0.35892878358169034,0.18747186660766602,-0.05127554051167005,-0.06703936936527649
12,[0.24023214 1.30466386 0.68040655],[ 0.32298005 -0.61037528  0.84772507],0.2979231746830904,0.18876028060913086,-0.04256045352615577,-0.05564497099049129
13,[0.2382544  1.30378598 0.68354479],[ 0.32363866 -0.61457757  0.84473171],0.24455971789235115,0.19565105438232422,-0.03493710255605016,-0.04567794506767858
14,[0.2364454  1.30304369 0.68665705],[ 0.32405257 -0.61840883  0.84193055],0.19738030347555874,0.19208097457885742,-0.028197186210794107,-0.0368659513402239
15,[0.2347842  1.30241492 0.68973049],[ 0.32425186 -0.62190568  0.83929899],0.1553163133143974,0.1925220489501953,-0.02218804475919963,-0.029009397331788832
16,[0.2332543  1.3018822  0.69275521],[ 0.32426266 -0.62509721  0.83681669],0.11756260176498384,0.16569089889526367,-0.016794657394997692,-0.021957900964696273
17,[0.23184261 1.30143169 0.69572376],[ 0.32410776 -0.62800692  0.83446512],0.08349446750677092,0.18892693519592285,-0.011927781072395846,-0.01559478287388325
18,[0.23053854 1.3010524  0.69863081],[ 0.32380716 -0.63065418  0.83222729],0.05261277951378746,0.1910097599029541,-0.007516111359112495,-0.009826817242022312
19,[0.2293335  1.30073557 0.70147272],[ 0.32337852 -0.63305528  0.83008751],0.024507503800034268,0.19783806800842285,-0.003501071971433467,-0.004577419462090823
20,[0.22822032 1.30047419 0.70424733],[ 0.32283753 -0.63522418  0.82803118],-0.0011667205304379674,0.17036080360412598,0.0001666743614911382,0.00021791567621179818
21,[0.22719299 1.30026265 0.70695365],[ 0.32219824 -0.63717309  0.82604464],-0.024707088007897407,0.18956708908081055,0.003529584001128201,0.004614697050410423
22,[0.22624635 1.30009643 0.70959168],[ 0.32147328 -0.63891287  0.82411508],-0.04637391225578759,0.19005703926086426,0.006624844607969656,0.00866154506084938
23,[0.22537591 1.29997189 0.71216221],[ 0.32067412 -0.64045334  0.82223041],-0.06639845653224119,0.19219589233398438,0.00948549379032017,0.012401654189809711
24,[0.22457769 1.29988607 0.71466667],[ 0.3198112  -0.6418035   0.82037925],-0.08498847122693476,0.2002251148223877,0.012141210175276394,0.015873827274362113
25,[0.22384812 1.29983659 0.717107  ],[ 0.31889409 -0.64297168  0.8185508 ],-0.1023322046877028,0.1930851936340332,0.014618886383957542,0.019113224633489502
26,[0.22318391 1.29982149 0.71948556],[ 0.3179316  -0.64396569  0.81673482],-0.11860139335372834,0.1653118133544922,0.016943056193389764,0.022151922553927592
27,[0.22258206 1.29983916 0.72180497],[ 0.31693188 -0.64479284  0.81492162],-0.13395356481429163,0.23900794982910156,0.019136223544898804,0.02501934344682324
28,[0.22203972 1.29988827 0.72406811],[ 0.3159025  -0.64546011  0.81310199],-0.1485338729204566,0.23310184478759766,0.021219124702922372,0.02774259860299899
29,[0.22155422 1.29996771 0.726278  ],[ 0.31485051 -0.64597409  0.81126716],-0.16247660792807617,0.21176600456237793,0.023210943989725168,0.0303467702517886
30,[0.22112302 1.30007653 0.72843776],[ 0.3137825  -0.64634109  0.80940882],-0.1759064740804881,0.21718406677246094,0.025129496297212586,0.032855150183131884
31,[0.22074367 1.30021393 0.73055055],[ 0.31270469 -0.64656715  0.80751908],-0.18893969361724458,0.1963670253753662,0.026991384802463513,0.035289445950176426
32,[0.22041381 1.3003792  0.73261953],[ 0.31162289 -0.64665808  0.80559042],-0.2016849742994181,0.19073486328125,0.028812139185631157,0.03766996158001832
33,[0.22013115 1.30057171 0.73464785],[ 0.31054263 -0.64661944  0.80361574],-0.21424436339503508,0.19054675102233887,0.030606337627862155,0.04001575707789225
34,[0.21989346 1.30079087 0.73663859],[ 0.30946913 -0.64645662  0.80158827],-0.22671400211765566,0.19980335235595703,0.03238771458823652,0.04234478933837423
35,[0.21969857 1.30103613 0.73859474],[ 0.30840735 -0.64617482  0.79950162],-0.23918478902829732,0.19588303565979004,0.03416925557547105,0.04467403605309998
36,[0.21954435 1.30130696 0.74051917],[ 0.30736205 -0.64577909  0.79734974],-0.2517429577247454,0.19422483444213867,0.035963279674963634,0.047019603609403327
37,[0.2194287  1.30160282 0.74241465],[ 0.30633775 -0.64527434  0.79512692],-0.26447057246222416,0.16565799713134766,0.03778151035174631,0.049396819660482656
38,[0.21934958 1.30192317 0.7442838 ],[ 0.30533882 -0.64466536  0.7928278 ],-0.27744594464433053,0.21409273147583008,0.039635134949190076,0.05182031091601243
39,[0.21930494 1.30226743 0.74612906],[ 0.30436944 -0.64395684  0.79044733],-0.29074397303889676,0.23384308815002441,0.04153485329127097,0.054304066686383407
40,[0.21929279 1.302635   0.74795274],[ 0.30343367 -0.6431534   0.7879808 ],-0.30443641087490403,0.23055505752563477,0.043490915839272004,0.05686148877006052
41,[0.21931116 1.30302525 0.74975694],[ 0.30253543 -0.64225958  0.78542384],-0.3185920635074977,0.17929291725158691,0.045513151929642524,0.05950542837271156
42,[0.21935808 1.30343749 0.7515436 ],[ 0.30167852 -0.64127989  0.78277241],-0.3332769209935226,0.21507477760314941,0.04761098871336037,0.06224821086916746
43,[0.21943164 1.30387098 0.75331447],[ 0.30086666 -0.6402188   0.7800228 ],-0.348554230626096,0.23121190071105957,0.04979346151801371,0.06510164935115725
44,[0.21952993 1.30432492 0.75507107],[ 0.30010344 -0.63908076  0.77717164],-0.36448451517884717,0.19873690605163574,0.05206921645412103,0.06807704803489861
45,[0.21965106 1.30479848 0.75681478],[ 0.29939237 -0.63787023  0.7742159 ],-0.3811255432639198,0.19172096252441406,0.05444650618055997,0.07118519672467684
46,[0.21979318 1.30529074 0.75854672],[ 0.29873689 -0.63659165  0.7711529 ],-0.3985322587738947,0.20117807388305664,0.0569331798248421,0.07443635763427245
47,[0.21995448 1.30580075 0.76026785],[ 0.29814033 -0.63524948  0.76798031],-0.4167566768210954,0.16604208946228027,0.059536668117299345,0.07784024595089567
48,[0.22013315 1.3063275  0.7619789 ],[ 0.29760595 -0.63384822  0.76469616],-0.4358477538765917,0.1883230209350586,0.062263964839513096,0.08140600558023751
49,[0.22032746 1.30686994 0.76368043],[ 0.2971369  -0.63239234  0.76129882],-0.4558512399187845,0.19969391822814941,0.06512160570268351,0.08514218153133817
50,[0.22053568 1.30742696 0.76537279],[ 0.29673625 -0.63088636  0.75778704],-0.4768095203079567,0.2257828712463379,0.06811564575827952,0.08905669038250966
51,[0.22075618 1.30799744 0.76705611],[ 0.29640694 -0.62933481  0.75415992],-0.4987614547983107,0.2216320037841797,0.07125163639975866,0.09315679021260939
52,[0.22098734 1.30858025 0.76873038],[ 0.29615183 -0.62774219  0.7504169 ],-0.5217422205842873,0.17812490463256836,0.07453460294061247,0.09744905128582132
53,[0.22122764 1.30917421 0.77039538],[ 0.29597363 -0.62611303  0.74655782],-0.5457831655680838,0.20452284812927246,0.0779690236525834,0.10193932864551435
54,[0.2214756  1.3097782  0.77205072],[ 0.2958749  -0.62445183  0.74258283],-0.570911677158614,0.2008059024810791,0.08155881102265915,0.10663273760900523
55,[0.22172985 1.31039107 0.77369585],[ 0.29585808 -0.62276304  0.73849246],-0.5971510709101835,0.1992950439453125,0.08530729584431193,0.11153363296790876
56,[0.22198908 1.31101174 0.77533006],[ 0.29592542 -0.62105108  0.73428756],-0.6245205022337561,0.20275616645812988,0.0892172146048223,0.11664559249789991
57,[0.2222521  1.31163917 0.77695249],[ 0.29607901 -0.6193203   0.72996931],-0.6530349033241513,0.2008051872253418,0.09329070047487875,0.12197140517821278
58,[0.22251778 1.31227238 0.77856215],[ 0.29632074 -0.61757496  0.72553921],-0.6827049464047347,0.1804029941558838,0.09752927805781923,0.1275130643266221
59,[0.22278514 1.31291048 0.78015792],[ 0.2966523  -0.61581922  0.72099908],-0.7135370334567063,0.210191011428833,0.10193386192238661,0.1332717656811181
60,[0.22305329 1.3135527  0.78173856],[ 0.29707517 -0.61405712  0.71635102],-0.7455333118246996,0.2227308750152588,0.10650475883209995,0.13924791031466185
61,[0.22332145 1.31419834 0.78330275],[ 0.2975906  -0.61229256  0.71159739],-0.7786917145139993,0.20786595344543457,0.1112416735019999,0.1454411121617481
62,[0.22358896 1.31484688 0.78484906],[ 0.29819962 -0.61052931  0.70674084],-0.8130060236406422,0.17177605628967285,0.11614371766294888,0.15185020986937658
63,[0.2238553  1.31549791 0.78637596],[ 0.29890302 -0.60877093  0.70178423],-0.8484659553694536,0.200120210647583,0.12120942219563623,0.15847328266145938
64,[0.22412005 1.3161512  0.78788189],[ 0.29970136 -0.60702086  0.69673067],-0.8850572647627072,0.19483184814453125,0.12643675210895816,0.1653076699220596
65,[0.22438292 1.31680667 0.7893652 ],[ 0.30059496 -0.6052823   0.69158346],-0.9227618692317081,0.1947951316833496,0.1318231241759583,0.17234999425321407
