Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.30557029 1.35025031 0.647019  ],[ 0.28433703 -0.48094441  0.91586348],2.720749633403849,0.1791391372680664,-0.45345827223397484,-0.5058095618895425
1,[0.30438902 1.34835391 0.64839081],[ 0.2867782  -0.4821991   0.91504026],2.640093158612871,0.17647314071655273,-0.44001552643547853,-0.49081486495870447
2,[0.30316101 1.34638617 0.64979729],[ 0.28933301 -0.48345425  0.91421022],2.553633412980847,0.17828893661499023,-0.42560556883014117,-0.4747412926158853
3,[0.30188726 1.3443485  0.65123879],[ 0.2920008  -0.48470886  0.91337357],2.4612096847062466,0.15253710746765137,-0.4102016141177078,-0.4575589672255525
4,[0.30056921 1.34224303 0.65271549],[ 0.29478005 -0.48596182  0.91253055],2.3627225109407575,0.17419219017028809,-0.3937870851567929,-0.4392493978324517
5,[0.29920879 1.34007276 0.65422735],[ 0.29766822 -0.48721191  0.91168148],2.2581464226432537,0.1760118007659912,-0.37635773710720893,-0.41980784953397543
6,[0.29780849 1.33784151 0.65577407],[ 0.30066175 -0.48845777  0.91082677],2.1475423967407634,0.1779940128326416,-0.35792373279012724,-0.3992456584385134
7,[0.29637134 1.33555406 0.65735512],[ 0.30375592 -0.48969792  0.90996689],2.0310692643766552,0.15217304229736328,-0.3385115440627759,-0.37759235255189727
8,[0.29490088 1.33321612 0.65896966],[ 0.30694485 -0.4909308   0.90910239],1.9089932071936195,0.1752171516418457,-0.3181655345322699,-0.3548974172139096
9,[0.29340123 1.33083432 0.66061652],[ 0.3102215  -0.49215472  0.9082339 ],1.7816944086520863,0.17595696449279785,-0.29694906810868105,-0.33123153163266156
10,[0.29187698 1.32841623 0.66229424],[ 0.31357762 -0.49336793  0.90736215],1.649669938794423,0.1828768253326416,-0.2749449897990705,-0.3066871051858009
11,[0.2903332  1.32597026 0.664001  ],[ 0.31700388 -0.49456862  0.90648795],1.513532059446237,0.15492582321166992,-0.2522553432410395,-0.28137796234360235
12,[0.28877535 1.32350555 0.66573463],[ 0.32048989 -0.49575493  0.90561219],1.374001354491443,0.1738278865814209,-0.22900022574857382,-0.25543806553103604
13,[0.2872092  1.32103189 0.66749264],[ 0.32402437 -0.49692498  0.90473583],1.2318944143079682,0.17359399795532227,-0.2053157357179947,-0.22901922556385357
14,[0.28564075 1.31855956 0.66927222],[ 0.32759527 -0.4980769   0.90385992],1.0881062145417235,0.17676115036010742,-0.1813510357569539,-0.20228782571885548
15,[0.28407612 1.31609909 0.67107025],[ 0.33119001 -0.49920886  0.90298555],0.9435877882905828,0.15210580825805664,-0.1572646313817638,-0.17542067081066795
16,[0.2825214  1.31366113 0.67288336],[ 0.33479567 -0.50031907  0.90211388],0.7993202433350828,0.17293119430541992,-0.13322004055584713,-0.14860015678287467
17,[0.28098263 1.31125622 0.67470794],[ 0.33839921 -0.50140584  0.90124607],0.6562865605787702,0.1740889549255371,-0.10938109342979503,-0.12200902780791416
18,[0.27946558 1.30889456 0.67654023],[ 0.34198774 -0.50246757  0.90038334],0.5154428680202311,0.17716002464294434,-0.08590714467003852,-0.09582503588403628
19,[0.27797574 1.30658584 0.67837636],[ 0.34554872 -0.50350278  0.89952689],0.37769097327213585,0.15088510513305664,-0.06294849554535598,-0.0702158344064205
20,[0.27651815 1.30433905 0.6802124 ],[ 0.34907022 -0.50451013  0.89867789],0.2438538386802782,0.17295312881469727,-0.04064230644671304,-0.04533441879164868
21,[0.27509742 1.30216232 0.68204445],[ 0.35254105 -0.50548844  0.89783751],0.11465540792699402,0.17443585395812988,-0.019109234654499003,-0.021315376078638044
22,[0.27371759 1.3000628  0.68386869],[ 0.355951   -0.50643671  0.89700685],-0.009294219052980224,0.18282389640808105,0.0015490365088300373,0.0017278711754936278
23,[0.27238213 1.2980466  0.68568145],[ 0.35929089 -0.50735408  0.89618694],-0.12750775569570505,0.15499281883239746,0.02125129261595084,0.023704732421584877
24,[0.27109395 1.29611869 0.68747923],[ 0.36255272 -0.5082399   0.89537875],-0.23962383587819036,0.17263007164001465,0.03993730597969839,0.04454802674812983
25,[0.26985536 1.29428296 0.6892588 ],[ 0.36572966 -0.50909367  0.89458315],-0.345404699333978,0.17289400100708008,0.057567449888996335,0.06421355258114482
26,[0.2686681  1.29254218 0.69101721],[ 0.36881612 -0.50991508  0.89380093],-0.44472924503852207,0.17647218704223633,0.07412154083975368,0.08267879625181672
27,[0.26753337 1.29089807 0.6927518 ],[ 0.37180767 -0.51070398  0.89303277],-0.5375824656083898,0.15086102485656738,0.0895970776013983,0.09994096776508457
28,[0.2664519  1.28935139 0.69446025],[ 0.37470104 -0.51146038  0.89227925],-0.6240423697432207,0.17270612716674805,0.10400706162387012,0.11601456957486907
29,[0.26542395 1.28790199 0.69614055],[ 0.37749402 -0.51218444  0.89154088],-0.7042654784740326,0.17444109916687012,0.1173775797456721,0.13092870021826225
30,[0.26444938 1.28654893 0.69779105],[ 0.38018537 -0.51287645  0.89081803],-0.7784718707444769,0.17692208290100098,0.12974531179074614,0.1447242741670342
31,[0.2635277  1.28529061 0.6994104 ],[ 0.38277476 -0.51353683  0.89011101],-0.8469305861165499,0.15086913108825684,0.14115509768609166,0.157451308071491
32,[0.26265816 1.2841248  0.70099754],[ 0.3852626  -0.5141661   0.88942006],-0.9099459978405624,0.1730501651763916,0.1516576663067604,0.16916638740296755
33,[0.26183971 1.28304884 0.70255173],[ 0.38765001 -0.51476487  0.8887453 ],-0.9678455738873749,0.17378997802734375,0.16130759564789582,0.1799303911298336
34,[0.26107115 1.28205964 0.70407246],[ 0.38993868 -0.51533385  0.88808683],-1.0209692654740135,0.1841139793395996,0.1701615442456689,0.18980651895780137
35,[0.2603511  1.28115384 0.70555946],[ 0.39213077 -0.51587378  0.88744466],-1.0696606133961377,0.15448999404907227,0.17827676889935629,0.19885863792454692
36,[0.25967807 1.28032787 0.70701269],[ 0.39422881 -0.5163855   0.88681875],-1.1142595468920355,0.17307019233703613,0.18570992448200593,0.20714994364975564
37,[0.25905049 1.27957801 0.70843226],[ 0.39623568 -0.51686985  0.88620904],-1.155096767630222,0.17323613166809082,0.19251612793837033,0.21474191627258266
38,[0.25846671 1.27890043 0.70981847],[ 0.39815444 -0.51732773  0.8856154 ],-1.1924895593025837,0.17681097984313965,0.19874825988376396,0.2216935414208187
39,[0.2579251  1.27829133 0.71117172],[ 0.39998835 -0.51776003  0.88503769],-1.2267388360448725,0.15136504173278809,0.20445647267414543,0.22806076148817114
40,[0.25742396 1.27774686 0.71249257],[ 0.40174076 -0.51816769  0.88447573],-1.2581272347688393,0.17239880561828613,0.20968787246147322,0.2338961209832384
41,[0.25696165 1.27726327 0.71378161],[ 0.40341509 -0.51855162  0.88392934],-1.2869180619997238,0.17314815521240234,0.21448634366662064,0.23924857073800407
42,[0.25653651 1.27683687 0.71503957],[ 0.40501478 -0.51891276  0.88339829],-1.3133549202126966,0.1759328842163086,0.2188924867021161,0.24416339844073187
43,[0.25614695 1.27646406 0.71626718],[ 0.40654324 -0.51925202  0.88288237],-1.3376618581166864,0.15045499801635742,0.22294364301944772,0.24868225657495566
44,[0.25579139 1.27614139 0.71746526],[ 0.40800386 -0.5195703   0.88238134],-1.3600439109494524,0.17318296432495117,0.22667398515824208,0.252843262864743
45,[0.25546832 1.27586552 0.71863462],[ 0.40939994 -0.51986849  0.88189497],-1.3806879185819076,0.1734910011291504,0.23011465309698462,0.25668115236696554
46,[0.25517625 1.27563327 0.71977613],[ 0.41073472 -0.52014746  0.88142301],-1.3997635297508837,0.18471503257751465,0.23329392162514728,0.2602274641663662
47,[0.25491378 1.27544158 0.72089064],[ 0.41201132 -0.52040807  0.88096521],-1.4174243192713174,0.15533900260925293,0.23623738654521956,0.2635107490744223
48,[0.25467954 1.27528756 0.72197903],[ 0.41323276 -0.52065113  0.88052134],-1.4338089612522404,0.17413973808288574,0.23896816020870673,0.2665567877397733
49,[0.25447224 1.27516847 0.72304217],[ 0.41440195 -0.52087744  0.88009114],-1.449042415070989,0.17342424392700195,0.24150706917849818,0.2693888111305055
50,[0.25429063 1.27508172 0.7240809 ],[ 0.41552167 -0.52108779  0.87967438],-1.4632370922429645,0.18171405792236328,0.24387284870716075,0.27202771746476384
51,[0.25413353 1.27502485 0.72509608],[ 0.41659458 -0.5212829   0.8792708 ],-1.476493981564586,0.15224218368530273,0.24608233026076434,0.27449228138400933
52,[0.2539998  1.27499557 0.72608854],[ 0.41762324 -0.52146352  0.87888018],-1.488903717261083,0.17362213134765625,0.24815061954351383,0.27679935253041144
53,[0.25388837 1.2749917  0.7270591 ],[ 0.41861004 -0.52163032  0.87850227],-1.500547580610269,0.17368507385253906,0.25009126343504484,0.27896404175688216
54,[0.25379821 1.27501121 0.72800856],[ 0.41955729 -0.52178397  0.87813685],-1.5114984299041472,0.17817234992980957,0.2519164049840245,0.28099989401452824
55,[0.25372836 1.2750522  0.72893769],[ 0.42046716 -0.52192511  0.8777837 ],-1.521821556894233,0.15319180488586426,0.2536369261490388,0.2829190475728264
56,[0.25367789 1.27511289 0.72984724],[ 0.42134171 -0.52205436  0.87744258],-1.5315754702601854,0.1744089126586914,0.2552625783766976,0.2847323796728361
57,[0.25364592 1.2751916  0.73073794],[ 0.42218288 -0.5221723   0.87711329],-1.5408126083289813,0.17359709739685059,0.25680210138816356,0.28644963902751097
58,[0.25363162 1.27528678 0.73161051],[ 0.42299251 -0.5222795   0.87679561],-1.5495799844094522,0.18279099464416504,0.2582633307349087,0.2880795657946556
59,[0.25363422 1.27539697 0.73246562],[ 0.42377233 -0.52237648  0.87648933],-1.5579197688222675,0.15431809425354004,0.25965329480371124,0.2896299997810499
60,[0.25365295 1.27552083 0.73330393],[ 0.42452398 -0.52246377  0.87619426],-1.5658698121024432,0.17399001121520996,0.2609783020170739,0.2911079777100657
61,[0.25368711 1.27565709 0.73412608],[ 0.42524899 -0.52254186  0.87591019],-1.5734641140131862,0.17463088035583496,0.2622440190021977,0.29251982041516755
62,[0.25373603 1.27580458 0.73493269],[ 0.42594881 -0.52261122  0.87563694],-1.5807332430018262,0.17783093452453613,0.26345554050030434,0.2938712108201945
63,[0.25379908 1.27596221 0.73572434],[ 0.42662479 -0.52267229  0.87537431],-1.5877047106015323,0.15160703659057617,0.26461745176692203,0.29516726354369444
64,[0.25387565 1.27612895 0.7365016 ],[ 0.42727821 -0.5227255   0.87512212],-1.5944033050759427,0.17387795448303223,0.2657338841793238,0.29641258692618383
65,[0.25396516 1.27630388 0.73726502],[ 0.42791027 -0.52277127  0.87488019],-1.6008513883468147,0.1746671199798584,0.2668085647244691,0.2976113382314212
66,[0.25406707 1.27648612 0.73801512],[ 0.4285221  -0.52280998  0.87464835],-1.6070691599601445,0.17746520042419434,0.26784485999335744,0.2987672727198633
67,[0.25418088 1.27667485 0.73875241],[ 0.42911476 -0.52284201  0.87442642],-1.6130748915493984,0.15190505981445312,0.2688458152582331,0.2998837872372929
68,[0.25430608 1.27686934 0.73947737],[ 0.42968922 -0.52286772  0.87421425],-1.6188851349573543,0.17413902282714844,0.26981418915955907,0.3009639589063682
69,[0.25444222 1.27706887 0.74019048],[ 0.43024642 -0.52288743  0.87401167],-1.6245149068892255,0.17456269264221191,0.2707524844815376,0.30201057945514515
70,[0.25458885 1.27727282 0.74089217],[ 0.43078723 -0.52290149  0.87381851],-1.6299778526931876,0.18367791175842285,0.2716629754488646,0.30302618566521433
71,[0.25474556 1.27748058 0.74158289],[ 0.43131247 -0.52291019  0.87363463],-1.6352863916051734,0.15428686141967773,0.27254773193419557,0.30401308637389357
72,[0.25491194 1.2776916  0.74226303],[ 0.4318229  -0.52291384  0.87345988],-1.6404518455536254,0.17635703086853027,0.27340864092560424,0.3049733864200828
73,[0.25508762 1.27790538 0.742933  ],[ 0.43231923 -0.52291271  0.87329411],-1.6454845533974747,0.17511796951293945,0.27424742556624576,0.30590900788203657
74,[0.25527224 1.27812146 0.74359319],[ 0.43280214 -0.52290708  0.87313717],-1.6503939722683043,0.17651104927062988,0.2750656620447174,0.3068217089176993
75,[0.25546545 1.27833939 0.74424395],[ 0.43327225 -0.5228972   0.87298894],-1.6551887675030694,0.15051817893981934,0.2758647945838449,0.30771310048393186
76,[0.25566693 1.27855878 0.74488563],[ 0.43373015 -0.52288333  0.87284926],-1.6598768924876184,0.1726069450378418,0.2766461487479364,0.3085846611800741
77,[0.25587637 1.27877927 0.74551858],[ 0.4341764 -0.5228657  0.872718 ],-1.664465659581619,0.17774009704589844,0.27741094326360316,0.309437750433467
78,[0.25609347 1.27900052 0.74614312],[ 0.4346115  -0.52284453  0.87259505],-1.668961803161486,0.17541813850402832,0.2781603005269143,0.3102736202196479
79,[0.25631794 1.27922222 0.74675957],[ 0.43503594 -0.52282003  0.87248027],-1.6733715356981251,0.1514420509338379,0.2788952559496875,0.3110934254876604
80,[0.25654953 1.27944409 0.74736821],[ 0.43545018 -0.52279243  0.87237353],-1.6777005976797923,0.17348814010620117,0.2796167662799654,0.3118982334411215
81,[0.25678796 1.27966587 0.74796934],[ 0.43585463 -0.5227619   0.87227473],-1.681954302095352,0.17380380630493164,0.280325717015892,0.3126890318080223
82,[0.25703301 1.27988732 0.74856324],[ 0.43624969 -0.52272865  0.87218373],-1.6861375741093352,0.18282604217529297,0.2810229290182225,0.31346673621664534
83,[0.25728442 1.28010823 0.74915017],[ 0.43663574 -0.52269286  0.87210043],-1.6902549864855314,0.15468215942382812,0.28170916441425525,0.314232196781099
84,[0.25754199 1.2803284  0.74973039],[ 0.43701312 -0.52265469  0.87202471],-1.694310791249971,0.17367911338806152,0.2823851318749952,0.3149862039877247
85,[0.25780549 1.28054764 0.75030414],[ 0.43738216 -0.52261431  0.87195646],-1.6983089480261329,0.17499780654907227,0.2830514913376888,0.3157294939628431
86,[0.25807471 1.2807658  0.75087166],[ 0.43774317 -0.52257189  0.87189558],-1.7022531494235,0.17753219604492188,0.28370885823725,0.31646275319269385
87,[0.25834947 1.28098273 0.75143317],[ 0.43809642 -0.52252757  0.87184196],-1.7061468438156342,0.15253090858459473,0.2843578073026057,0.31718662275806553
88,[0.25862958 1.28119829 0.75198891],[ 0.4384422 -0.5224815  0.8717955],-1.7099932558038236,0.17454218864440918,0.28499887596730394,0.3179017021386547
89,[0.25891485 1.28141237 0.75253907],[ 0.43878075 -0.52243383  0.8717561 ],-1.7137954046271344,0.1753549575805664,0.28563256743785576,0.318608552635645
90,[0.25920511 1.28162485 0.75308387],[ 0.43911231 -0.52238469  0.87172367],-1.7175561207491448,0.17797279357910156,0.2862593534581908,0.31930770045531603
91,[0.2595002  1.28183565 0.75362348],[ 0.4394371  -0.52233421  0.8716981 ],-1.7212780608238378,0.15206027030944824,0.28687967680397297,0.31999963949132515
92,[0.25979997 1.28204466 0.75415812],[ 0.43975534 -0.52228251  0.87167932],-1.7249637212197586,0.1733558177947998,0.28749395353662643,0.3206848338389587
93,[0.26010424 1.28225182 0.75468795],[ 0.44006721 -0.52222971  0.87166721],-1.7286154502600128,0.1756129264831543,0.2881025750433355,0.3213637200706475
94,[0.26041289 1.28245706 0.75521315],[ 0.44037289 -0.52217593  0.87166171],-1.7322354593175644,0.18256831169128418,0.2887059098862607,0.32203670929867345
95,[0.26072577 1.28266031 0.75573388],[ 0.44067258 -0.52212128  0.87166271],-1.7358258328886849,0.15491199493408203,0.2893043054814475,0.32270418904790577
96,[0.26104275 1.28286153 0.75625032],[ 0.44096641 -0.52206587  0.87167015],-1.7393885377532476,0.17371082305908203,0.28989808962554126,0.32336652495877444
97,[0.26136368 1.28306068 0.75676262],[ 0.44125456 -0.5220098   0.87168392],-1.7429254313180462,0.17399191856384277,0.29048757188634106,0.32402406233836145
98,[0.26168846 1.28325771 0.75727092],[ 0.44153716 -0.52195317  0.87170397],-1.7464382692279703,0.17589712142944336,0.2910730448713284,0.32467712757538025
99,[0.26201696 1.28345259 0.75777538],[ 0.44181435 -0.52189607  0.87173019],-1.7499287123205305,0.1518089771270752,0.2916547853867551,0.32532602943307876
100,[0.26234907 1.28364529 0.75827614],[ 0.44208626 -0.5218386   0.87176253],-1.7533983329902325,0.17351889610290527,0.2922330554983721,0.32597106023242844
101,[0.26268467 1.2838358  0.75877332],[ 0.44235301 -0.52178084  0.8718009 ],-1.7568486210220524,0.17389392852783203,0.2928081035036754,0.3266124969366151
102,[0.26302365 1.2840241  0.75926706],[ 0.44261471 -0.52172289  0.87184523],-1.7602809889465603,0.17696595191955566,0.2933801648244267,0.3272506021465998
103,[0.26336591 1.28421018 0.75975749],[ 0.44287147 -0.52166482  0.87189544],-1.763696776963285,0.15079593658447266,0.2939494628272142,0.32788562501641294
104,[0.26371135 1.28439402 0.76024472],[ 0.4431234  -0.52160671  0.87195148],-1.7670972574738695,0.1732161045074463,0.2945162095789782,0.32851780209590437
105,[0.26405988 1.28457563 0.76072888],[ 0.44337058 -0.52154863  0.87201326],-1.7704836392619547,0.1744060516357422,0.29508060654365914,0.32914735810781837
106,[0.2644114  1.284755   0.76121008],[ 0.44361311 -0.52149068  0.87208073],-1.7738570713528115,0.18197298049926758,0.2956428452254686,0.32977450666533026
107,[0.26476582 1.28493214 0.76168843],[ 0.44385109 -0.52143291  0.87215382],-1.777218646582068,0.15414905548095703,0.29620310776367803,0.33039945093550255
108,[0.26512305 1.28510705 0.76216403],[ 0.44408458 -0.52137539  0.87223245],-1.7805694048997842,0.17389798164367676,0.29676156748329735,0.33102238425353864
109,[0.26548301 1.28527974 0.76263699],[ 0.44431367 -0.5213182   0.87231658],-1.7839103364335531,0.17380523681640625,0.2973183894055922,0.3316434906922389
110,[0.26584562 1.28545022 0.76310741],[ 0.44453843 -0.5212614   0.87240614],-1.787242384331485,0.17625713348388672,0.2978737307219142,0.33226294559053454
