Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.28883878 1.33830479 0.65080077],[ 0.2885643  -0.51123005  0.90220255],2.934434963777492,0.19763708114624023,-0.419204994825356,-0.5472650062994203
1,[0.27274083 1.32583182 0.65512879],[ 0.29804699 -0.5422053   0.88821042],2.049748858536284,0.18918609619140625,-0.29282126550518345,-0.3822731925655136
2,[0.26051001 1.31663605 0.6597809 ],[ 0.30710671 -0.56666836  0.87594538],1.3125407732470848,0.1913290023803711,-0.18750582474958355,-0.24478567199684537
3,[0.25174335 1.31052857 0.66523161],[ 0.3139371  -0.58462376  0.86578965],0.8492193379107142,0.19184207916259766,-0.12131704827295918,-0.15837734761482922
4,[0.24526252 1.30651061 0.67129857],[ 0.31852402 -0.59818732  0.85742374],0.5751844840603741,0.1931452751159668,-0.08216921200862488,-0.10727051176060688
5,[0.24022271 1.30380121 0.67766732],[ 0.32134161 -0.60890439  0.85043783],0.3985317515411313,0.1669600009918213,-0.05693310736301876,-0.07432520543475034
6,[0.23613657 1.30191976 0.68408898],[ 0.32283028 -0.61764538  0.84450862],0.27272871685492106,0.1876542568206787,-0.038961245264988724,-0.05086324447126465
7,[0.23272893 1.30058089 0.690398  ],[ 0.32332047 -0.62489272  0.83939584],0.1767609240044996,0.19192814826965332,-0.025251560572071372,-0.03296548377555009
8,[0.2298397  1.29961348 0.69649342],[ 0.32305289 -0.63092764  0.83491557],0.10052219058292981,0.1948528289794922,-0.014360312940418545,-0.01874714483083361
9,[0.22737114 1.29891309 0.70231964],[ 0.32220594 -0.6359273   0.83092034],0.038515375364575756,0.19328784942626953,-0.005502196480653679,-0.007183024126179738
10,[0.22525982 1.29841489 0.7078521 ],[ 0.32091582 -0.640014    0.82728696],-0.012693629339144127,0.1666700839996338,0.0018133756198777326,0.002367331096446126
11,[0.22346158 1.298078   0.71308704],[ 0.31928992 -0.64328017  0.82390942],-0.05552543802680106,0.1911013126373291,0.007932205432400152,0.010355359572323957
12,[0.22194323 1.29787626 0.71803449],[ 0.31741532 -0.6458012   0.82069471],-0.0918375605771352,0.1885371208190918,0.013119651511019315,0.01712748239036464
13,[0.22067801 1.29779269 0.72271313],[ 0.31536427 -0.64764194  0.81756025],-0.12312959694200173,0.19047021865844727,0.017589942420285963,0.022963371305856347
14,[0.21964304 1.29781604 0.72714685],[ 0.31319781 -0.64886003  0.81443229],-0.15064650919845834,0.1921248435974121,0.02152092988549405,0.02809520872779902
15,[0.21881793 1.29793872 0.73136214],[ 0.31096825 -0.64950755  0.81124463],-0.17543895165730686,0.19303512573242188,0.025062707379615266,0.03271893913787893
16,[0.21818401 1.29815542 0.73538642],[ 0.30872086 -0.64963196  0.80793778],-0.19840476861012704,0.16552495956420898,0.02834353837287529,0.037002008319680535
17,[0.21772382 1.29846225 0.73924673],[ 0.30649523 -0.6492767   0.80445823],-0.2203211370603226,0.1887068748474121,0.03147444815147466,0.04108935790009746
18,[0.2174209 1.2988561 0.7429689],[ 0.30432634 -0.64848168  0.80075783],-0.24187079509184936,0.19070792198181152,0.034552970727407054,0.04510831687651051
19,[0.21725958 1.2993342  0.74657695],[ 0.30224539 -0.64728381  0.79679339],-0.2636634562038036,0.19452905654907227,0.0376662080291148,0.049172595338269974
20,[0.21722482 1.29989378 0.75009266],[ 0.30028059 -0.64571755  0.7925263 ],-0.28625272795511547,0.1661698818206787,0.04089324685073078,0.053385439752912246
21,[0.21730213 1.3005318  0.7535353 ],[ 0.29845781 -0.64381542  0.78792236],-0.3101486897778544,0.1873788833618164,0.04430695568255063,0.057841978697846776
22,[0.21747746 1.3012447  0.75692141],[ 0.29680108 -0.64160862  0.78295168],-0.3358263394825082,0.1930680274963379,0.04797519135464402,0.0626307981131123
