Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.30622142 1.351713   0.64546303],[ 0.281653   -0.47945336  0.9165019 ],1.211496254857774,0.10611891746520996,-0.24229925097155477,-0.39851850488742563
1,[0.3057381  1.35135101 0.64524472],[ 0.28129504 -0.47921298  0.91632433],1.2064147218427128,0.07894706726074219,-0.24128294436854256,-0.3968469479745766
2,[0.30525436 1.35098871 0.64502639],[ 0.28093548 -0.47896989  0.91614703],1.2013173943541782,0.10225892066955566,-0.24026347887083563,-0.3951701955112428
3,[0.3047702  1.35062611 0.64480806],[ 0.28057432 -0.47872408  0.91597   ],1.1962044241105085,0.07816410064697266,-0.2392408848221017,-0.39348829740477254
4,[0.30428564 1.35026322 0.64458972],[ 0.28021156 -0.47847554  0.91579326],1.1910759646430515,0.07847189903259277,-0.23821519292861032,-0.3918013041588985
5,[0.3038007  1.34990005 0.64437139],[ 0.27984719 -0.47822425  0.91561679],1.1859321712643942,0.10167193412780762,-0.23718643425287883,-0.39010926686328756
6,[0.30331538 1.34953662 0.64415305],[ 0.27948123 -0.4779702   0.9154406 ],1.1807732010361707,0.08330607414245605,-0.23615464020723415,-0.38841223718295087
7,[0.30282971 1.34917294 0.64393471],[ 0.27911367 -0.47771337  0.91526469],1.1755992127365225,0.0827183723449707,-0.2351198425473045,-0.38671026734754027
8,[0.30234369 1.34880902 0.64371638],[ 0.2787445  -0.47745376  0.91508907],1.1704103668272179,0.11114192008972168,-0.23408207336544357,-0.3850034101405322
9,[0.30185734 1.34844488 0.64349806],[ 0.27837374 -0.47719134  0.91491373],1.1652068254204604,0.08080410957336426,-0.23304136508409207,-0.3832917188883093
10,[0.30137068 1.34808051 0.64327975],[ 0.27800139 -0.47692611  0.91473869],1.1599887522453827,0.08098006248474121,-0.23199775044907653,-0.381575247449139
11,[0.30088371 1.34771594 0.64306146],[ 0.27762743 -0.47665805  0.91456393],1.154756312614294,0.10630917549133301,-0.23095126252285877,-0.37985405020207036
12,[0.30039646 1.34735118 0.64284317],[ 0.27725188 -0.47638715  0.91438946],1.149509673388686,0.0803840160369873,-0.2299019346777372,-0.378128182035752
13,[0.29990893 1.34698624 0.64262491],[ 0.27687474 -0.47611339  0.91421529],1.1442490029450105,0.07878708839416504,-0.22884980058900212,-0.3763976983371745
14,[0.29942114 1.34662113 0.64240667],[ 0.27649601 -0.47583676  0.91404141],1.138974471140266,0.10398292541503906,-0.2277948942280532,-0.3746626549803507
15,[0.2989331  1.34625586 0.64218845],[ 0.27611569 -0.47555725  0.91386784],1.1336862492774342,0.08095479011535645,-0.22673724985548685,-0.37292310831494546
16,[0.29844483 1.34589044 0.64197025],[ 0.27573378 -0.47527485  0.91369456],1.1283845100707537,0.11663103103637695,-0.22567690201415075,-0.3711791151548532
17,[0.29795635 1.34552489 0.64175208],[ 0.27535028 -0.47498953  0.91352158],1.1230694276108963,0.08168220520019531,-0.22461388552217926,-0.3694307327667422
18,[0.29746766 1.34515922 0.64153394],[ 0.27496521 -0.4747013   0.91334891],1.1177411773300454,0.08065319061279297,-0.22354823546600908,-0.36767801885856755
19,[0.29697878 1.34479344 0.64131583],[ 0.27457855 -0.47441013  0.91317654],1.1123999359669043,0.11359310150146484,-0.22247998719338086,-0.36592103156806066
20,[0.29648973 1.34442756 0.64109776],[ 0.27419031 -0.47411601  0.91300448],1.1070458815316884,0.08197689056396484,-0.22140917630633766,-0.3641598294512133
21,[0.29600052 1.3440616  0.64087972],[ 0.2738005  -0.47381893  0.91283273],1.1016791932710872,0.08942103385925293,-0.22033583865421744,-0.3623944714707524
22,[0.29551116 1.34369555 0.64066172],[ 0.27340911 -0.47351887  0.9126613 ],1.096300051633226,0.1929779052734375,-0.2192600103266452,-0.3606250169846138
23,[0.29502167 1.34332945 0.64044376],[ 0.27301615 -0.47321583  0.91249017],1.090908638232717,0.10810279846191406,-0.21818172764654342,-0.3588515257344464
24,[0.29453206 1.34296329 0.64022584],[ 0.27262163 -0.47290979  0.91231936],1.0855051358157035,0.08945989608764648,-0.2171010271631407,-0.357074057834113
25,[0.29404235 1.34259709 0.64000797],[ 0.27222555 -0.47260073  0.91214888],1.080089728225061,0.11719799041748047,-0.2160179456450122,-0.35529267375824375
26,[0.29355254 1.34223085 0.63979015],[ 0.2718279  -0.47228865  0.91197871],1.0746626003656667,0.08780384063720703,-0.21493252007313335,-0.35350743433081144
27,[0.29306267 1.3418646  0.63957237],[ 0.2714287  -0.47197354  0.91180886],1.069223938169812,0.08596301078796387,-0.21384478763396242,-0.351718400713754
28,[0.29257273 1.34149835 0.63935464],[ 0.27102795 -0.47165537  0.91163934],1.0637739285628158,0.1087958812713623,-0.21275478571256318,-0.3499256343956631
29,[0.29208275 1.34113209 0.63913697],[ 0.27062565 -0.47133413  0.91147014],1.0583127594287771,0.07890605926513672,-0.21166255188575542,-0.34812919718051877
30,[0.29159273 1.34076585 0.63891935],[ 0.27022181 -0.47100982  0.91130128],1.0528406195765698,0.10330796241760254,-0.21056812391531396,-0.3463291511765032
31,[0.2911027  1.34039964 0.63870179],[ 0.26981643 -0.47068243  0.91113274],1.0473576987060516,0.0779428482055664,-0.2094715397412103,-0.3445255587848854
32,[0.29061267 1.34003346 0.63848429],[ 0.26940951 -0.47035193  0.91096454],1.041864187374562,0.07775378227233887,-0.2083728374749124,-0.3427184826890006
33,[0.29012264 1.33966733 0.63826685],[ 0.26900106 -0.47001832  0.91079667],1.0363602769636684,0.10132694244384766,-0.2072720553927337,-0.34090798584331194
34,[0.28963264 1.33930126 0.63804947],[ 0.26859109 -0.46968159  0.91062914],1.0308461596462295,0.07801127433776855,-0.2061692319292459,-0.3390941314625755
35,[0.28914268 1.33893526 0.63783216],[ 0.2681796  -0.46934171  0.91046195],1.0253220283538036,0.07781410217285156,-0.20506440567076073,-0.3372769830111196
36,[0.28865277 1.33856934 0.63761491],[ 0.2677666 -0.4689987  0.9102951],1.0197880767443634,0.10172700881958008,-0.2039576153488727,-0.33545660419222484
37,[0.28816293 1.33820351 0.63739773],[ 0.26735208 -0.46865252  0.9101286 ],1.0142444991704274,0.07806110382080078,-0.20284889983408547,-0.33363305893764056
38,[0.28767317 1.33783778 0.63718062],[ 0.26693606 -0.46830316  0.90996244],1.008691490647538,0.07780218124389648,-0.20173829812950758,-0.33180641139721645
39,[0.28718351 1.33747217 0.63696358],[ 0.26651855 -0.46795063  0.90979663],1.0031292468231805,0.10221481323242188,-0.2006258493646361,-0.32997672592867777
40,[0.28669396 1.33710667 0.63674662],[ 0.26609954 -0.4675949   0.90963117],0.9975579639461318,0.07769608497619629,-0.19951159278922637,-0.32814406708754335
41,[0.28620453 1.33674131 0.63652973],[ 0.26567905 -0.46723596  0.90946607],0.9919778388362275,0.08227705955505371,-0.19839556776724548,-0.3263084996171801
42,[0.28571524 1.33637609 0.63631291],[ 0.26525708 -0.46687381  0.90930132],0.9863890688546348,0.1009519100189209,-0.19727781377092696,-0.32447008843902464
43,[0.2852261  1.33601103 0.63609618],[ 0.26483363 -0.46650843  0.90913692],0.9807918518745873,0.07811689376831055,-0.19615837037491746,-0.32262889864295635
44,[0.28473713 1.33564613 0.63587952],[ 0.26440872 -0.46613981  0.90897289],0.9751863862526334,0.07797384262084961,-0.1950372772505267,-0.32078499547783995
45,[0.28424834 1.3352814  0.63566295],[ 0.26398235 -0.46576794  0.90880922],0.9695728708003972,0.09956192970275879,-0.19391457416007946,-0.31893844434223595
46,[0.28375974 1.33491686 0.63544646],[ 0.26355453 -0.46539281  0.90864592],0.9639515047568945,0.07828688621520996,-0.1927903009513789,-0.31708931077529423
47,[0.28327135 1.33455251 0.63523006],[ 0.26312527 -0.46501441  0.90848298],0.9583224877613696,0.10242009162902832,-0.19166449755227394,-0.315237660447819
48,[0.28278318 1.33418836 0.63501374],[ 0.26269456 -0.46463272  0.90832041],0.9526860198267268,0.07792091369628906,-0.19053720396534538,-0.31338355915352856
49,[0.28229525 1.33382443 0.63479751],[ 0.26226243 -0.46424775  0.90815821],0.947042301313537,0.07784318923950195,-0.18940846026270738,-0.31152707280050557
50,[0.28180756 1.33346072 0.63458136],[ 0.26182888 -0.46385947  0.90799639],0.9413915329046165,0.10712075233459473,-0.18827830658092332,-0.3096682674028344
51,[0.28132014 1.33309724 0.63436531],[ 0.26139391 -0.46346788  0.90783495],0.9357339155802515,0.0805971622467041,-0.18714678311605032,-0.3078072090724512
52,[0.280833   1.33273401 0.63414935],[ 0.26095753 -0.46307297  0.90767388],0.9300696505940012,0.0789940357208252,-0.18601393011880024,-0.30594396401118457
53,[0.28034614 1.33237102 0.63393349],[ 0.26051976 -0.46267473  0.9075132 ],0.9243989394491544,0.10783004760742188,-0.1848797878898309,-0.30407859850301133
54,[0.27985959 1.3320083  0.63371771],[ 0.2600806  -0.46227315  0.90735289],0.9187219838758303,0.08049821853637695,-0.18374439677516605,-0.3022111789065231
55,[0.27937335 1.33164584 0.63350204],[ 0.25964006 -0.46186823  0.90719298],0.9130389858087085,0.07977175712585449,-0.1826077971617417,-0.30034177164760145
56,[0.27888744 1.33128366 0.63328646],[ 0.25919815 -0.46145994  0.90703345],0.907350147365428,0.10180497169494629,-0.1814700294730856,-0.2984704432123118
57,[0.27840188 1.33092177 0.63307098],[ 0.25875487 -0.46104829  0.90687432],0.9016556708256653,0.07801508903503418,-0.18033113416513308,-0.29659726014002147
58,[0.27791667 1.33056018 0.6328556 ],[ 0.25831025 -0.46063326  0.90671558],0.8959557586108571,0.07778215408325195,-0.17919115172217143,-0.2947222890167293
