Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[ 0.37474611  1.9594444   0.62358491 -0.38495244],[-0.35985172  0.38190454 -0.56080778  2.55505438],12.12693270889369,1.5357749462127686,-0.7579332943058557,-0.7579332943058557
1,[ 0.35761123  2.61830081  1.62232289 -0.22588977],[-0.24880739 -0.23795254 -0.19723865  2.71730546],12.888732128214661,1.462670087814331,-0.8055457580134163,-0.8055457580134163
2,[0.31883859 2.99372031 2.11350631 0.13111374],[-0.4541588  -0.39222152 -0.0481731   2.93069191],4.542333525686513,1.4342410564422607,-0.2838958453554071,-0.2838958453554071
3,[0.19756967 1.85364068 2.28097677 0.39264443],[-0.27551966 -0.26309766  0.05173922  3.21778649],19.58277412315899,1.4432120323181152,-1.223923382697437,-1.223923382697437
4,[0.41113342 1.72896604 2.20993898 0.34756183],[-0.33619189 -0.03934146  0.26512367  3.11739788],0.7403380331580992,1.4477691650390625,-0.0462711270723812,-0.0462711270723812
5,[0.52717583 1.8697709  2.46771328 0.33398761],[-0.15946043  0.13299967  0.18917238  3.02104855],3.1246058301243145,1.447916030883789,-0.19528786438276965,-0.19528786438276965
6,[0.48321054 1.47455196 2.62754869 0.47589698],[-0.22973258 -0.29476293  0.02754878  3.17445054],4.304988169130787,1.4251530170440674,-0.2690617605706742,-0.2690617605706742
7,[0.54784033 1.68053299 2.52310334 0.40189471],[-0.41018517 -0.10660353 -0.26552777  3.37874728],3.127191796301638,1.4461989402770996,-0.19544948726885236,-0.19544948726885236
8,[0.340124   1.82107269 3.06496841 0.34711659],[ 0.26310499 -0.54692931 -0.79515639  3.4595037 ],4.704511695242823,1.4893178939819336,-0.29403198095267646,-0.29403198095267646
9,[ 1.0591438   1.01194309  2.85029065 -0.48625467],[ 0.6182679  -1.24033962 -1.1565241   3.42971045],15.518181320519416,1.4127390384674072,-0.9698863325324635,-0.9698863325324635
10,[ 0.87361646  0.75397402  3.44892292 -0.86134323],[ 0.04751865 -1.1091425  -1.27685633  3.4401439 ],8.02647104236438,1.4312140941619873,-0.5016544401477737,-0.5016544401477737
11,[ 0.54794427  0.47477747  3.70992157 -0.65995124],[ 0.12780923 -1.40366836 -1.18095094  3.18642423],2.8926020496611926,1.5294129848480225,-0.18078762810382454,-0.18078762810382454
12,[ 0.49918451  0.30689312  3.760419   -0.63173201],[-0.27985924 -1.59302329 -1.40963034  3.12076866],7.6214968002802115,1.450232982635498,-0.4763435500175132,-0.4763435500175132
13,[ 0.46952451  0.09637188  3.57926056 -0.64749411],[-0.25835099 -1.59736303 -1.31004591  3.44541947],2.8945210596836053,1.44047212600708,-0.18090756623022533,-0.18090756623022533
14,[ 0.30276391 -0.7444316   2.73999929 -0.84908597],[ 0.01259159 -1.46763861 -1.42381103  3.18340364],9.122724437772268,1.4132399559020996,-0.5701702773607668,-0.5701702773607668
15,[ 0.45052524 -0.61243666  2.85913117 -0.83452551],[-0.36276665 -1.6222377  -1.37538874  3.26749435],-0.40351192507629396,1.47007417678833,0.025219495317268373,0.025219495317268373
16,[ 0.50247679 -1.40945627  2.13295506 -0.88805797],[-0.49561447 -1.97600487 -1.38918491  3.36579552],1.3208443183437117,1.462656021118164,-0.08255276989648198,-0.08255276989648198
17,[ 0.51649985 -3.38472861  0.70476738 -1.4791653 ],[-0.28553532 -1.93035444 -1.4099399   3.51251292],13.042846794229318,1.4204628467559814,-0.8151779246393324,-0.8151779246393324
18,[-0.08206406 -4.93165949  1.05258547 -1.51226044],[-0.47602945 -2.35221628 -1.49620337  3.4632629 ],4.641121065932266,1.4514739513397217,-0.2900700666207666,-0.2900700666207666
19,[-0.08925299 -5.30194149  1.31852136 -1.14226346],[-0.40540951 -2.32558136 -1.57454385  3.59152013],4.959462649783548,1.4400262832641602,-0.30996641561147176,-0.30996641561147176
20,[ 0.31250762 -5.04924653  0.15142948 -2.3055998 ],[-0.4197021  -2.13652349 -1.13885242  3.58929687],15.490577314366067,1.4421100616455078,-0.9681610821478792,-0.9681610821478792
21,[ 0.84217045 -3.88076137 -1.50057738 -2.21882825],[-0.33219999 -1.77947497 -0.79450259  3.76957409],11.007182065217748,1.4771778583526611,-0.6879488790761092,-0.6879488790761092
22,[ 0.52055136 -4.81536739 -1.56965781 -3.54969121],[-0.13403787 -2.39563432 -0.49302993  3.80609596],10.410505159577319,1.4185280799865723,-0.6506565724735824,-0.6506565724735824
23,[ 0.59595146 -5.33888367 -1.24805364 -3.43113842],[-0.4376612  -2.35520408 -0.5317434   3.42862825],6.641730910845929,1.4251070022583008,-0.4151081819278706,-0.4151081819278706
24,[ 0.39603165 -6.49368946 -1.64103188 -3.14336976],[-0.16820332 -2.66938108 -0.23722983  3.35819831],5.180601864383881,1.5070481300354004,-0.32378761652399257,-0.32378761652399257
25,[ 0.39031331 -6.54998802 -1.72636156 -2.19003209],[-0.64029942 -3.0416583  -0.0689312   3.51969795],17.48519576134563,1.4539761543273926,-1.0928247350841018,-1.0928247350841018
26,[ 1.22170288 -5.13258326 -0.58325561 -1.07593272],[-0.88562932 -2.82831129  0.02567831  3.59328082],14.69822849554766,1.4376492500305176,-0.9186392809717288,-0.9186392809717288
27,[ 1.45918917 -4.77096096 -1.44792584 -1.97772645],[-0.55953278 -2.81087051 -0.07810561  3.64522097],12.960976121991255,1.4090068340301514,-0.8100610076244534,-0.8100610076244534
28,[ 1.59011734 -4.91932334 -0.93835992 -1.38745636],[-0.46772589 -2.81626153  0.12959902  3.54021447],6.821752126777917,1.4538729190826416,-0.4263595079236198,-0.4263595079236198
29,[ 1.59401119 -5.4737334  -1.20285651 -1.73215614],[-0.50250447 -2.65554039  0.5629378   3.14780564],5.866189148036748,1.4789588451385498,-0.3666368217522967,-0.3666368217522967
