Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.30284431 1.36083867 0.62852283],[ 0.22612708 -0.56111497  0.91353836],11.629535599173733,1.1969850063323975,-0.7268459749483583,-0.7268459749483583
1,[0.30126229 1.34259488 0.62621244],[ 0.20722703 -0.6560904   0.90790311],4.746527948053585,1.2173352241516113,-0.2966579967533491,-0.2966579967533491
2,[0.3021727  1.33271827 0.64551992],[ 0.1902348  -0.65608798  0.8980855 ],1.3029096131727371,1.1196069717407227,-0.08143185082329607,-0.08143185082329607
3,[0.30242312 1.3201019  0.65998659],[ 0.18315093 -0.67501738  0.89425605],-0.13149762800165166,1.1639978885650635,0.008218601750103229,0.008218601750103229
4,[0.30352754 1.31256106 0.67184702],[ 0.17277747 -0.68683217  0.89119482],-1.1969371012944943,1.2657301425933838,0.07480856883090589,0.07480856883090589
5,[0.3034528  1.30547818 0.67879088],[ 0.17291996 -0.6991752   0.89086739],-1.765780969893913,1.1495959758758545,0.11036131061836957,0.11036131061836957
6,[0.30443532 1.30245273 0.68331362],[ 0.16472013 -0.70839665  0.8901242 ],-2.0331561747601348,1.3188979625701904,0.12707226092250842,0.12707226092250842
7,[0.30356694 1.29838008 0.6867026 ],[ 0.16849227 -0.71509389  0.89057869],-2.158913255965831,1.1475107669830322,0.13493207849786443,0.13493207849786443
8,[0.30433015 1.29772052 0.68857953],[ 0.16035436 -0.72159333  0.89021912],-2.224161302071364,1.211277961730957,0.13901008137946025,0.13901008137946025
9,[0.30282411 1.29485137 0.69086439],[ 0.16608562 -0.72542809  0.89062655],-2.2600805270099396,1.1270179748535156,0.14125503293812122,0.14125503293812122
10,[0.30345883 1.29538617 0.69163643],[ 0.15762112 -0.7307258   0.89022655],-2.282946637180349,1.2335059642791748,0.1426841648237718,0.1426841648237718
11,[0.30152698 1.29307063 0.69355223],[ 0.16440819 -0.73315748  0.89041603],-2.298132306329848,1.107287883758545,0.1436332691456155,0.1436332691456155
12,[0.30207379 1.29425476 0.69377472],[ 0.15578104 -0.737992    0.88989887],-2.3105360953626612,1.2442831993103027,0.14440850596016633,0.14440850596016633
13,[0.29988122 1.29226349 0.69556269],[ 0.16300027 -0.73977286  0.88984578],-2.320612431160364,1.1222877502441406,0.14503827694752275,0.14503827694752275
14,[0.30033641 1.29379833 0.69550447],[ 0.15451045 -0.74447069  0.88921157],-2.33076259705219,1.2185609340667725,0.14567266231576187,0.14567266231576187
15,[0.29800833 1.29205921 0.69724393],[ 0.16168308 -0.74604402  0.88892813],-2.3402207946184683,1.1262011528015137,0.14626379966365427,0.14626379966365427
16,[0.29834555 1.29375625 0.69706632],[ 0.15363595 -0.7507513   0.88819682],-2.3506629571217785,1.1926779747009277,0.14691643482011116,0.14691643482011116
