Iteration,Gamma,Beta,Energy,Wall Time,Ratio2Expt,ImprovOvRand
0,[0.30674944 1.35205237 0.64569228],[ 0.28207975 -0.47971972  0.9163413 ],0.0012128697051811115,0.18934202194213867,-0.0002021449508635186,-0.0002639542339893605
1,[0.3067947  1.35203016 0.64570323],[ 0.28215023 -0.47974805  0.91600316],-0.000410023270527967,0.18601703643798828,6.833721175466118e-05,8.923248542502003e-05
2,[0.30684006 1.35200805 0.64571418],[ 0.2822208  -0.47977602  0.91566532],-0.0020302223701648536,0.18463492393493652,0.0003383703950274756,0.00044183294236449484
3,[0.30688552 1.35198602 0.64572513],[ 0.28229145 -0.47980363  0.91532779],-0.0036477285035766242,0.19065189361572266,0.000607954750596104,0.0007938473348371326
4,[0.30693108 1.35196409 0.64573608],[ 0.28236219 -0.4798309   0.91499056],-0.005262542573507108,0.1593329906463623,0.0008770904289178514,0.001145275859305138
5,[0.30697675 1.35194225 0.64574703],[ 0.28243301 -0.4798578   0.91465363],-0.006874665475787125,0.18288493156433105,0.0011457775792978542,0.0014961187107262516
6,[0.30702252 1.3519205  0.64575799],[ 0.28250391 -0.47988436  0.91431701],-0.008484098099515221,0.18471503257751465,0.0014140163499192036,0.0018463760825930841
7,[0.30706839 1.35189883 0.64576895],[ 0.28257489 -0.47991057  0.9139807 ],-0.010090841327244008,0.18683385848999023,0.0016818068878740012,0.0021960481669736688
8,[0.30711436 1.35187725 0.64577991],[ 0.28264596 -0.47993643  0.9136447 ],-0.011694896035163957,0.1592872142791748,0.0019491493391939928,0.0025451351545514598
9,[0.30716043 1.35185576 0.64579087],[ 0.2827171  -0.47996194  0.913309  ],-0.013296263093286503,0.1814882755279541,0.002216043848881084,0.00289363723466518
10,[0.3072066  1.35183436 0.64580183],[ 0.28278833 -0.4799871   0.9129736 ],-0.014894943365623506,0.18429780006408691,0.002482490560937251,0.0032415545953478797
11,[0.30725287 1.35181305 0.6458128 ],[ 0.28285963 -0.48001192  0.91263851],-0.01649093771037467,0.18694114685058594,0.0027484896183957784,0.003588887423367719
12,[0.30729923 1.35179182 0.64582376],[ 0.28293102 -0.48003639  0.91230374],-0.018084246980103295,0.16813302040100098,0.003014041163350549,0.003935635904266223
13,[0.30734569 1.35177068 0.64583473],[ 0.28300248 -0.48006052  0.91196926],-0.01967487202192093,0.18274879455566406,0.0032791453369868215,0.004281800222398461
14,[0.30739225 1.35174962 0.6458457 ],[ 0.28307402 -0.48008431  0.9116351 ],-0.02126281367766312,0.18930983543395996,0.0035438022796105196,0.004627380560971299
15,[0.3074389  1.35172865 0.64585667],[ 0.28314564 -0.48010775  0.91130124],-0.0228480727840736,0.18711090087890625,0.0038080121306789338,0.004972377102083482
16,[0.30748565 1.35170776 0.64586765],[ 0.28321733 -0.48013085  0.91096769],-0.024430650172979355,0.15959668159484863,0.004071775028829892,0.005316790026763734
17,[0.30753249 1.35168695 0.64587862],[ 0.2832891  -0.48015362  0.91063445],-0.026010546671469226,0.18347406387329102,0.0043350911119115374,0.005660619515009626
18,[0.30757943 1.35166623 0.6458896 ],[ 0.28336094 -0.48017604  0.91030152],-0.027587763102073445,0.18527984619140625,0.004597960517012241,0.0060038657458266476
19,[0.30762645 1.35164559 0.64590058],[ 0.28343286 -0.48019813  0.9099689 ],-0.029162300282934553,0.18682169914245605,0.004860383380489092,0.006346528897265409
20,[0.30767357 1.35162504 0.64591156],[ 0.28350485 -0.48021988  0.90963659],-0.030734159027990524,0.15978336334228516,0.005122359837998421,0.006688609146461485
21,[0.30772078 1.35160456 0.64592254],[ 0.28357692 -0.48024129  0.90930459],-0.03230334014714464,0.18336796760559082,0.005383890024524106,0.007030106669672392
22,[0.30776808 1.35158417 0.64593352],[ 0.28364906 -0.48026237  0.9089729 ],-0.03386984444644175,0.19018888473510742,0.005644974074406958,0.007371021642315941
23,[0.30781547 1.35156386 0.6459445 ],[ 0.28372127 -0.48028311  0.90864151],-0.035433672728241106,0.19198393821716309,0.005905612121373517,0.007711354239007858
24,[0.30786295 1.35154362 0.64595549],[ 0.28379355 -0.48030352  0.90831044],-0.03699482579139174,0.15912985801696777,0.00616580429856529,0.008051104633599943
25,[0.30791052 1.35152347 0.64596648],[ 0.2838659  -0.48032361  0.90797968],-0.03855330443140054,0.1819150447845459,0.006425550738566756,0.008390272999216656
26,[0.30795818 1.3515034  0.64597746],[ 0.28393833 -0.48034336  0.90764923],-0.040109109440607714,0.1886909008026123,0.006684851573434619,0.0087288595082933
27,[0.30800593 1.3514834  0.64598845],[ 0.28401082 -0.48036278  0.90731909],-0.04166224160835612,0.1860978603363037,0.00694370693472602,0.009066864332612867
28,[0.30805376 1.35146349 0.64599945],[ 0.28408338 -0.48038187  0.90698927],-0.04321270172115603,0.15990400314331055,0.007202116953526005,0.0094042876433419
29,[0.30810167 1.35144365 0.64601044],[ 0.28415601 -0.48040063  0.90665975],-0.04476049056286651,0.183135986328125,0.0074600817604777514,0.00974112961106997
30,[0.30814968 1.35142389 0.64602143],[ 0.28422871 -0.48041907  0.90633055],-0.04630560891484946,0.18497467041015625,0.007717601485808243,0.010077390405843191
31,[0.30819776 1.3514042  0.64603243],[ 0.28430147 -0.48043718  0.90600166],-0.04784805755614975,0.18703675270080566,0.007974676259358292,0.010413070197203429
32,[0.30824594 1.3513846  0.64604342],[ 0.28437431 -0.48045497  0.90567308],-0.04938783726364931,0.1595752239227295,0.008231306210608217,0.01074816915422183
33,[0.30829419 1.35136507 0.64605442],[ 0.28444721 -0.48047244  0.90534481],-0.050924948812245394,0.18299126625061035,0.008487491468707566,0.011082687445537627
34,[0.30834253 1.35134561 0.64606542],[ 0.28452017 -0.48048958  0.90501686],-0.0524593929750067,0.18904805183410645,0.008743232162501117,0.011416625239392101
35,[0.30839095 1.35132623 0.64607642],[ 0.2845932  -0.4805064   0.90468922],-0.053991170523341715,0.18908405303955078,0.008998528420556953,0.011749982703665228
36,[0.30843945 1.35130692 0.64608742],[ 0.28466629 -0.4805229   0.9043619 ],-0.055520282227163834,0.15927600860595703,0.009253380371193972,0.012082760005911608
37,[0.30848803 1.35128769 0.64609843],[ 0.28473945 -0.48053908  0.90403489],-0.05704672885504771,0.18686389923095703,0.009507788142507951,0.012414957313394497
38,[0.30853669 1.35126853 0.64610943],[ 0.28481267 -0.48055494  0.90370819],-0.05857051117439597,0.18410706520080566,0.009761751862399328,0.012746574793122084
39,[0.30858543 1.35124945 0.64612044],[ 0.28488596 -0.48057049  0.90338181],-0.060091629951599855,0.18623900413513184,0.010015271658599976,0.01307761261188245
40,[0.30863426 1.35123044 0.64613144],[ 0.2849593  -0.48058572  0.90305574],-0.0616100859521962,0.15869998931884766,0.010268347658699366,0.013408070936277737
41,[0.30868315 1.3512115  0.64614245],[ 0.28503271 -0.48060064  0.90272999],-0.06312587994103076,0.1825108528137207,0.010520979990171793,0.013737949932759688
42,[0.30873213 1.35119263 0.64615346],[ 0.28510618 -0.48061524  0.90240456],-0.06463901268241318,0.1910710334777832,0.010773168780402196,0.014067249767663369
