"Step","atomic-lion-15 - Final Train Loss","atomic-lion-15 - Final Train Loss__MIN","atomic-lion-15 - Final Train Loss__MAX"
"8887","-4.249024658728208","-4.249024658728208","-4.249024658728208"
"8988","-4.346995289125652","-4.346995289125652","-4.346995289125652"
"9089","-3.969863298456769","-3.969863298456769","-3.969863298456769"
"9190","-4.388273860883891","-4.388273860883891","-4.388273860883891"
"9291","-4.821965079192524","-4.821965079192524","-4.821965079192524"
"9392","-4.340397544438817","-4.340397544438817","-4.340397544438817"
"9493","-3.805797663963887","-3.805797663963887","-3.805797663963887"
"9594","-4.397088405686825","-4.397088405686825","-4.397088405686825"
"9695","-3.383115266459077","-3.383115266459077","-3.383115266459077"
"9796","-4.058383660428303","-4.058383660428303","-4.058383660428303"
"9897","-4.704001525544466","-4.704001525544466","-4.704001525544466"
"9998","-3.901931925098693","-3.901931925098693","-3.901931925098693"
"10099","-4.682530821091311","-4.682530821091311","-4.682530821091311"
"10200","-4.4419420061203985","-4.4419420061203985","-4.4419420061203985"
"10301","-3.833111691131568","-3.833111691131568","-3.833111691131568"
"10402","-4.453515532278327","-4.453515532278327","-4.453515532278327"
"10503","-4.845324606948514","-4.845324606948514","-4.845324606948514"
"10604","-4.541043798626779","-4.541043798626779","-4.541043798626779"
"10705","-3.917600672458525","-3.917600672458525","-3.917600672458525"
"10806","-4.246648161547851","-4.246648161547851","-4.246648161547851"
"10907","-4.048025014290558","-4.048025014290558","-4.048025014290558"
"11008","-4.620966539924252","-4.620966539924252","-4.620966539924252"
"11109","-4.705788474356272","-4.705788474356272","-4.705788474356272"
"11210","-4.177543024306522","-4.177543024306522","-4.177543024306522"
"11311","-3.6569467324474467","-3.6569467324474467","-3.6569467324474467"
"11412","-4.09089354365782","-4.09089354365782","-4.09089354365782"
"11513","-4.497245204440607","-4.497245204440607","-4.497245204440607"
"11614","-4.601271132008575","-4.601271132008575","-4.601271132008575"
"11715","-3.938744646756041","-3.938744646756041","-3.938744646756041"
"11816","-4.166031161161191","-4.166031161161191","-4.166031161161191"
"11917","-4.547934195874915","-4.547934195874915","-4.547934195874915"
"12018","-4.047092342484334","-4.047092342484334","-4.047092342484334"
"12119","-4.7381570144985705","-4.7381570144985705","-4.7381570144985705"
"12220","-4.130271127293873","-4.130271127293873","-4.130271127293873"
"12321","-4.166854183088455","-4.166854183088455","-4.166854183088455"
"12422","-3.225077220795499","-3.225077220795499","-3.225077220795499"
"12523","-3.303695509830611","-3.303695509830611","-3.303695509830611"
"12624","-4.633148118766949","-4.633148118766949","-4.633148118766949"
"12725","-4.360704223159267","-4.360704223159267","-4.360704223159267"
"12826","-3.0017119639540693","-3.0017119639540693","-3.0017119639540693"
"12927","-4.3977288368687475","-4.3977288368687475","-4.3977288368687475"
"13028","-4.177803902607958","-4.177803902607958","-4.177803902607958"
"13129","-4.394179820345755","-4.394179820345755","-4.394179820345755"
"13230","-4.180375450070262","-4.180375450070262","-4.180375450070262"
"13331","-4.348327160952741","-4.348327160952741","-4.348327160952741"
"13432","-4.484113572365256","-4.484113572365256","-4.484113572365256"
"13533","-4.377847312000199","-4.377847312000199","-4.377847312000199"
"13634","-3.9289668319088653","-3.9289668319088653","-3.9289668319088653"
"13735","-4.463284995445666","-4.463284995445666","-4.463284995445666"
"13836","-4.180777570709081","-4.180777570709081","-4.180777570709081"
"13937","-4.280017980271386","-4.280017980271386","-4.280017980271386"
"14038","-4.708651064184915","-4.708651064184915","-4.708651064184915"
"14139","-4.291513806613981","-4.291513806613981","-4.291513806613981"
"14240","-4.085133904061078","-4.085133904061078","-4.085133904061078"
"14341","-4.534148659047417","-4.534148659047417","-4.534148659047417"
